File.Name,Source.Short,Table,Group.Type,Taxon,Species,N,Full.Citation
Allee1954-3.csv,Allee1954,Tb3,Captive,Fish,Mustelus canis,10,"Allee, W. C. & Dickinson, J. C. 1954 Dominance and subordination in the smooth dogfish Mustelus canis (Mitchill). Phys. Zool. 27, 356–364."
Appleby1983-1.csv,Appleby1983,Fig1,Natural,Ungulate,Cervus elaphus,7,"Appleby, M.C. 1983. The probability of linearity in hierarchies. Anim. Behav. 31, 600–608."
Archie2006-A.csv,Archie2006,Fig2-A,Natural,Elephant,Loxodonta africana,8,"Archie, E. A., Morrison, T. A., Foley, C. A. H., Moss, C. J. & Alberts, S.C. 2006 Dominance rank relationships among wild female African elephants, Loxodonta africana. Anim. Behav. 71, 117–127."
Archie2006-AA.csv,Archie2006,Fig2-AA,Natural,Elephant,Loxodonta africana,10,"Archie, E. A., Morrison, T. A., Foley, C. A. H., Moss, C. J. & Alberts, S.C. 2006 Dominance rank relationships among wild female African elephants, Loxodonta africana. Anim. Behav. 71, 117–127."
Archie2006-CB.csv,Archie2006,Fig2-CB,Natural,Elephant,Loxodonta africana,6,"Archie, E. A., Morrison, T. A., Foley, C. A. H., Moss, C. J. & Alberts, S.C. 2006 Dominance rank relationships among wild female African elephants, Loxodonta africana. Anim. Behav. 71, 117–127."
Archie2006-FB.csv,Archie2006,Fig2-FB,Natural,Elephant,Loxodonta africana,6,"Archie, E. A., Morrison, T. A., Foley, C. A. H., Moss, C. J. & Alberts, S.C. 2006 Dominance rank relationships among wild female African elephants, Loxodonta africana. Anim. Behav. 71, 117–127."
Archie2006-GB.csv,Archie2006,Fig2-GB,Natural,Elephant,Loxodonta africana,11,"Archie, E. A., Morrison, T. A., Foley, C. A. H., Moss, C. J. & Alberts, S.C. 2006 Dominance rank relationships among wild female African elephants, Loxodonta africana. Anim. Behav. 71, 117–127."
Archie2006-JA.csv,Archie2006,Fig2-JA,Natural,Elephant,Loxodonta africana,7,"Archie, E. A., Morrison, T. A., Foley, C. A. H., Moss, C. J. & Alberts, S.C. 2006 Dominance rank relationships among wild female African elephants, Loxodonta africana. Anim. Behav. 71, 117–127."
Archie2006-OA.csv,Archie2006,Fig2-OA,Natural,Elephant,Loxodonta africana,9,"Archie, E. A., Morrison, T. A., Foley, C. A. H., Moss, C. J. & Alberts, S.C. 2006 Dominance rank relationships among wild female African elephants, Loxodonta africana. Anim. Behav. 71, 117–127."
Archie2006-PC.csv,Archie2006,Fig2-PC,Natural,Elephant,Loxodonta africana,9,"Archie, E. A., Morrison, T. A., Foley, C. A. H., Moss, C. J. & Alberts, S.C. 2006 Dominance rank relationships among wild female African elephants, Loxodonta africana. Anim. Behav. 71, 117–127."
