Source,Target,Weight
1,0,7
1,3,1
2,0,6
2,5,1
2,11,1
3,0,2
3,1,2
3,2,9
3,5,1
3,6,1
3,10,1
4,1,1
4,3,4
4,5,1
4,6,1
4,7,2
4,10,1
4,11,2
4,13,2
5,1,4
5,3,2
5,4,16
5,7,1
5,9,1
5,10,1
5,11,1
6,2,5
6,11,1
7,0,1
7,3,1
7,4,3
7,5,3
7,8,1
8,5,3
8,11,1
10,1,2
10,2,1
10,3,1
10,4,2
10,5,2
10,7,3
10,8,4
11,3,2
11,7,1
11,8,2
11,9,4
11,10,9
11,13,1
11,14,1
11,16,1
12,7,1
12,9,1
12,10,1
12,11,5
13,1,1
13,3,1
13,5,1
13,8,2
13,9,1
13,10,2
13,11,14
13,12,3
13,14,2
14,0,1
14,3,4
14,4,1
14,5,3
14,7,1
14,9,1
14,10,8
14,11,12
14,12,2
14,13,6
15,1,1
15,3,1
15,5,1
15,9,2
15,11,1
15,14,9
16,5,1
16,11,1
16,13,2
16,14,2
17,8,1
17,14,2
18,19,1
18,20,1
19,16,2
19,18,6
20,18,3
