id,ranks,clusters_0,clusters_1,clusters_2
1.00E+00,-8.52E-02,0.00E+00,1.00E+00,1.00E+00
2.00E+00,3.33E-01,0.00E+00,0.00E+00,1.00E+00
3.00E+00,-6.14E-01,0.00E+00,2.00E+00,1.00E+00
4.00E+00,-2.25E-01,0.00E+00,1.00E+00,1.00E+00
5.00E+00,-8.27E-01,0.00E+00,2.00E+00,1.00E+00
6.00E+00,-1.28E-01,0.00E+00,1.00E+00,1.00E+00
7.00E+00,-4.41E-01,0.00E+00,2.00E+00,1.00E+00
8.00E+00,3.57E-01,0.00E+00,0.00E+00,1.00E+00
9.00E+00,-1.08E-01,0.00E+00,1.00E+00,1.00E+00
1.00E+01,-6.75E-01,0.00E+00,2.00E+00,1.00E+00
1.10E+01,-3.16E-01,0.00E+00,1.00E+00,1.00E+00
1.20E+01,-2.53E-01,0.00E+00,1.00E+00,1.00E+00
1.30E+01,-1.49E-01,0.00E+00,1.00E+00,1.00E+00
1.40E+01,-5.85E-01,0.00E+00,2.00E+00,1.00E+00
1.50E+01,-9.50E-01,0.00E+00,2.00E+00,1.00E+00
1.60E+01,-8.73E-01,0.00E+00,2.00E+00,1.00E+00
1.70E+01,-4.48E-01,0.00E+00,2.00E+00,1.00E+00
1.80E+01,-2.32E-01,0.00E+00,1.00E+00,1.00E+00
1.90E+01,-3.09E-01,0.00E+00,1.00E+00,1.00E+00
2.00E+01,2.98E-02,0.00E+00,1.00E+00,1.00E+00
2.10E+01,-2.47E-01,0.00E+00,1.00E+00,1.00E+00
2.20E+01,-3.46E-01,0.00E+00,1.00E+00,1.00E+00
2.30E+01,-1.24E+00,0.00E+00,2.00E+00,1.00E+00
2.40E+01,2.32E-01,0.00E+00,1.00E+00,1.00E+00
2.50E+01,-3.70E-01,0.00E+00,1.00E+00,1.00E+00
2.60E+01,2.12E-01,0.00E+00,1.00E+00,1.00E+00
2.70E+01,-1.97E-01,0.00E+00,1.00E+00,1.00E+00
2.80E+01,-1.88E-01,0.00E+00,1.00E+00,1.00E+00
2.90E+01,4.15E-02,0.00E+00,1.00E+00,1.00E+00
3.00E+01,-8.88E-01,0.00E+00,2.00E+00,1.00E+00
3.10E+01,-3.86E-02,0.00E+00,1.00E+00,1.00E+00
3.20E+01,4.73E-03,0.00E+00,1.00E+00,1.00E+00
3.30E+01,-4.50E-02,0.00E+00,1.00E+00,1.00E+00
3.40E+01,3.03E-02,0.00E+00,1.00E+00,1.00E+00
3.50E+01,-3.41E-01,1.00E+00,1.00E+00,1.00E+00
3.60E+01,6.79E-02,1.00E+00,1.00E+00,1.00E+00
3.70E+01,-2.77E-01,1.00E+00,1.00E+00,1.00E+00
3.80E+01,1.22E-01,1.00E+00,1.00E+00,1.00E+00
3.90E+01,-4.05E-02,1.00E+00,1.00E+00,1.00E+00
4.00E+01,6.34E-01,1.00E+00,0.00E+00,2.00E+00
4.10E+01,2.15E-01,1.00E+00,1.00E+00,1.00E+00
4.20E+01,6.87E-02,1.00E+00,1.00E+00,1.00E+00
4.30E+01,-9.92E-01,1.00E+00,2.00E+00,1.00E+00
4.40E+01,-1.15E-01,1.00E+00,1.00E+00,1.00E+00
4.50E+01,5.47E-01,1.00E+00,0.00E+00,1.00E+00
4.60E+01,5.28E-01,1.00E+00,0.00E+00,0.00E+00
4.70E+01,7.28E-01,1.00E+00,0.00E+00,1.00E+00
4.80E+01,2.78E-02,1.00E+00,1.00E+00,1.00E+00
4.90E+01,3.26E-02,1.00E+00,1.00E+00,2.00E+00
5.00E+01,-5.21E-01,1.00E+00,2.00E+00,1.00E+00
5.10E+01,1.50E-01,1.00E+00,1.00E+00,1.00E+00
5.20E+01,6.79E-01,1.00E+00,0.00E+00,2.00E+00
5.30E+01,-2.86E-01,1.00E+00,1.00E+00,1.00E+00
5.40E+01,-1.74E-01,1.00E+00,1.00E+00,1.00E+00
5.50E+01,-2.03E-01,1.00E+00,1.00E+00,2.00E+00
5.60E+01,1.50E-01,1.00E+00,1.00E+00,1.00E+00
5.70E+01,-5.28E-02,1.00E+00,1.00E+00,1.00E+00
5.80E+01,4.29E-01,1.00E+00,0.00E+00,1.00E+00
5.90E+01,-1.91E-01,1.00E+00,1.00E+00,1.00E+00
6.00E+01,8.64E-02,1.00E+00,1.00E+00,1.00E+00
6.10E+01,-2.82E-02,1.00E+00,1.00E+00,2.00E+00
6.20E+01,5.64E-01,1.00E+00,0.00E+00,1.00E+00
6.30E+01,-7.76E-02,1.00E+00,1.00E+00,1.00E+00
6.40E+01,1.14E-01,1.00E+00,1.00E+00,1.00E+00
6.50E+01,-1.67E-01,1.00E+00,1.00E+00,2.00E+00
6.60E+01,1.40E-01,1.00E+00,1.00E+00,1.00E+00
6.70E+01,1.71E-01,1.00E+00,1.00E+00,1.00E+00
6.80E+01,1.19E-01,1.00E+00,1.00E+00,1.00E+00
6.90E+01,7.90E-01,2.00E+00,0.00E+00,0.00E+00
7.00E+01,1.02E-01,2.00E+00,1.00E+00,0.00E+00
7.10E+01,-2.86E-01,2.00E+00,1.00E+00,2.00E+00
7.20E+01,-2.69E-02,2.00E+00,1.00E+00,2.00E+00
7.30E+01,6.01E-01,2.00E+00,0.00E+00,2.00E+00
7.40E+01,3.45E-01,2.00E+00,0.00E+00,0.00E+00
7.50E+01,4.42E-01,2.00E+00,0.00E+00,2.00E+00
7.60E+01,2.16E-01,2.00E+00,1.00E+00,2.00E+00
7.70E+01,8.61E-02,2.00E+00,1.00E+00,2.00E+00
7.80E+01,2.58E-01,2.00E+00,0.00E+00,0.00E+00
7.90E+01,1.65E-01,2.00E+00,1.00E+00,2.00E+00
8.00E+01,6.49E-01,2.00E+00,0.00E+00,2.00E+00
8.10E+01,5.95E-01,2.00E+00,0.00E+00,2.00E+00
8.20E+01,-3.92E-01,2.00E+00,1.00E+00,2.00E+00
8.30E+01,-2.59E-01,2.00E+00,1.00E+00,2.00E+00
8.40E+01,-1.44E-01,2.00E+00,1.00E+00,2.00E+00
8.50E+01,4.38E-01,2.00E+00,0.00E+00,0.00E+00
8.60E+01,2.64E-01,2.00E+00,0.00E+00,0.00E+00
8.70E+01,4.08E-01,2.00E+00,0.00E+00,1.00E+00
8.80E+01,3.42E-02,2.00E+00,1.00E+00,1.00E+00
8.90E+01,1.76E-01,2.00E+00,1.00E+00,2.00E+00
9.00E+01,1.19E-01,2.00E+00,1.00E+00,2.00E+00
9.10E+01,7.43E-01,2.00E+00,0.00E+00,2.00E+00
9.20E+01,7.99E-01,2.00E+00,0.00E+00,0.00E+00
9.30E+01,-7.15E-01,2.00E+00,2.00E+00,2.00E+00
9.40E+01,5.70E-02,2.00E+00,1.00E+00,2.00E+00
9.50E+01,1.20E+00,2.00E+00,0.00E+00,2.00E+00
9.60E+01,-7.35E-02,2.00E+00,1.00E+00,2.00E+00
9.70E+01,4.90E-01,2.00E+00,0.00E+00,2.00E+00
9.80E+01,3.43E-01,2.00E+00,0.00E+00,2.00E+00
9.90E+01,-3.28E-01,2.00E+00,1.00E+00,1.00E+00
1.00E+02,2.94E-02,2.00E+00,1.00E+00,0.00E+00
1.01E+02,2.54E-01,2.00E+00,0.00E+00,2.00E+00
1.02E+02,4.48E-02,2.00E+00,1.00E+00,2.00E+00
